location_code,measurement_time,bicycle_count
PUT04_057B_P,2022-08-05 15:00:00,0
PUT04_057B_P,2022-08-05 16:00:00,0
PUT04_057B_P,2022-08-05 17:00:00,0
PUT04_057B_P,2022-08-05 18:00:00,0
PUT04_057B_P,2022-08-05 19:00:00,0
PUT04_057B_P,2022-08-05 20:00:00,0
PUT04_057B_P,2022-08-05 21:00:00,0
PUT04_057B_P,2022-08-05 22:00:00,0
PUT04_057B_P,2022-08-05 23:00:00,832
PUT04_057B_P,2022-08-06 00:00:00,640
PUT04_057B_P,2022-08-06 01:00:00,611
PUT04_057B_P,2022-08-06 02:00:00,314
PUT04_057B_P,2022-08-06 03:00:00,270
PUT04_057B_P,2022-08-06 04:00:00,282.55
PUT04_057B_P,2022-08-06 05:00:00,117
PUT04_057B_P,2022-08-06 06:00:00,96
PUT04_057B_P,2022-08-06 07:00:00,97
PUT04_057B_P,2022-08-06 08:00:00,226
PUT04_057B_P,2022-08-06 09:00:00,481
PUT04_057B_P,2022-08-06 10:00:00,544
PUT04_057B_P,2022-08-06 11:00:00,0
PUT04_057B_P,2022-08-06 12:00:00,0
PUT04_057B_P,2022-08-06 13:00:00,0
PUT04_057B_P,2022-08-06 14:00:00,0
PUT04_057B_P,2022-08-06 15:00:00,0
PUT04_057B_P,2022-08-06 16:00:00,0
PUT04_057B_P,2022-08-06 17:00:00,0
PUT04_057B_P,2022-08-06 18:00:00,0
PUT04_057B_P,2022-08-06 19:00:00,0
PUT04_057B_P,2022-08-06 20:00:00,0
PUT04_057B_P,2022-08-06 21:00:00,501
PUT04_057B_P,2022-08-06 22:00:00,798
PUT04_057B_P,2022-08-06 23:00:00,681
PUT04_057B_P,2022-08-07 00:00:00,718
PUT04_057B_P,2022-08-07 01:00:00,550
PUT04_057B_P,2022-08-07 02:00:00,244
PUT04_057B_P,2022-08-07 03:00:00,205
PUT04_057B_P,2022-08-07 04:00:00,139
PUT04_057B_P,2022-08-07 05:00:00,62
PUT04_057B_P,2022-08-07 06:00:00,74
PUT04_057B_P,2022-08-07 07:00:00,102
PUT04_057B_P,2022-08-07 08:00:00,193
PUT04_057B_P,2022-08-07 09:00:00,322
PUT04_057B_P,2022-08-07 10:00:00,394
PUT04_057B_P,2022-08-07 11:00:00,650
PUT04_057B_P,2022-08-07 12:00:00,773
PUT04_057B_P,2022-08-07 13:00:00,651
PUT04_057B_P,2022-08-07 14:00:00,303
PUT04_057B_P,2022-08-07 15:00:00,461
PUT04_057B_P,2022-08-07 16:00:00,661
PUT04_057B_P,2022-08-07 17:00:00,312
PUT04_057B_P,2022-08-07 18:00:00,0
PUT04_057B_P,2022-08-07 19:00:00,24
PUT04_057B_P,2022-08-07 20:00:00,569
PUT04_057B_P,2022-08-07 21:00:00,665
PUT04_057B_P,2022-08-07 22:00:00,646
PUT04_057B_P,2022-08-07 23:00:00,396
PUT04_057B_P,2022-08-08 00:00:00,229
PUT04_057B_P,2022-08-08 01:00:00,135
PUT04_057B_P,2022-08-08 02:00:00,60
PUT04_057B_P,2022-08-08 03:00:00,33
PUT04_057B_P,2022-08-08 04:00:00,18
PUT04_057B_P,2022-08-08 05:00:00,40
PUT04_057B_P,2022-08-08 06:00:00,188
PUT04_057B_P,2022-08-08 07:00:00,683
PUT04_057B_P,2022-08-08 08:00:00,132
PUT04_057B_P,2022-08-08 09:00:00,235
PUT04_057B_P,2022-08-08 10:00:00,593
PUT04_057B_P,2022-08-08 11:00:00,539
PUT04_057B_P,2022-08-08 12:00:00,616
PUT04_057B_P,2022-08-08 13:00:00,705.6
PUT04_057B_P,2022-08-08 14:00:00,701
PUT04_057B_P,2022-08-08 15:00:00,701
PUT04_057B_P,2022-08-08 16:00:00,396
PUT04_057B_P,2022-08-08 17:00:00,0
PUT04_057B_P,2022-08-08 18:00:00,0
PUT04_057B_P,2022-08-08 19:00:00,0
PUT04_057B_P,2022-08-08 20:00:00,56
PUT04_057B_P,2022-08-08 21:00:00,684
PUT04_057B_P,2022-08-08 22:00:00,407
PUT04_057B_P,2022-08-08 23:00:00,404
PUT04_057B_P,2022-08-09 00:00:00,224
PUT04_057B_P,2022-08-09 01:00:00,128
PUT04_057B_P,2022-08-09 02:00:00,66
PUT04_057B_P,2022-08-09 03:00:00,45
PUT04_057B_P,2022-08-09 04:00:00,42
PUT04_057B_P,2022-08-09 05:00:00,54
PUT04_057B_P,2022-08-09 06:00:00,221
PUT04_057B_P,2022-08-09 07:00:00,571
PUT04_057B_P,2022-08-09 08:00:00,0
PUT04_057B_P,2022-08-09 09:00:00,0
PUT04_057B_P,2022-08-09 10:00:00,256
PUT04_057B_P,2022-08-09 11:00:00,661
PUT04_057B_P,2022-08-09 12:00:00,694
PUT04_057B_P,2022-08-09 13:00:00,765
PUT04_057B_P,2022-08-09 14:00:00,649.2
